as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,contribution_status,contributor_status,reconstructed_product_signal,confidence,numeric_display_policy,reconstruction_level,parity_level,parity_score,status_label,status_reason,limitation_reason,limitation_reason_detail,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,entry_primary_type,expansion_primary_type,basket_type,attach_rate,first_customer_cnt,structural_active_order_cnt,structural_active_member_cnt,basket_pair_rows,top_pair_product_id,basket_top_pair_product_id,basket_top1_share,basket_top3_share,basket_parity_score,basket_parity_level,event_freshness_gap_days,basket_freshness_gap_days,role_alignment_note,contribution_share,contributor_rank
2026-04-18,1d,1,하루 기준,1000000094,매화 3송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000094/image/list/1000000094_list_039.jpg,limited,limited,0.10873358799790231,Medium,hide,reconstructed_with_limitations,high,0.8354700854700854,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.16186108788756395,0.2562874214007564,0.161074674136616,0.10323070142350553,0.23469387755102042,None,None,None,0.23469387755102042,185,98,54,9,1000000064,1000000064,0.34615384615384615,0.6538461538461539,0.34188034188034183,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.03472528484176638,12
2026-04-18,1d,1,하루 기준,1000000111,매화 3송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000111/image/list/1000000111_list_056.jpg,limited,limited,0.10481517193862974,Medium,hide,reconstructed_with_limitations,high,0.8377742946708464,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.3208852359596403,0.30306932442442236,0.30687895167109863,0.09763313609467456,0.16853932584269662,Broad,None,None,0.16853932584269662,338,178,91,17,1000000064,1000000064,0.20833333333333334,0.4583333333333333,0.35109717868338564,low,27,0,넓은 유입 / 관측 약함 / 관측 약함,0.03347389494199211,13
2026-04-18,1d,1,하루 기준,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,limited,limited,0.09721121852484223,Medium,hide,reconstructed_with_limitations,high,0.83793347487615,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.08558124412365992,0.2767786572059919,0.40486881395941593,0.3284037223611674,0.8426966292134831,None,None,None,0.8426966292134831,197,89,58,26,1000000064,1000000064,0.20725388601036268,0.47150259067357514,0.35173389950460016,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.031045487555836627,14
2026-04-18,1d,1,하루 기준,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,limited,limited,0.09617240762403578,Medium,hide,reconstructed_with_limitations,high,0.8377723970944311,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.10546573453393789,0.1644158182016456,0.08743814502947761,0.20691786644424787,0.8914728682170543,Broad,None,None,0.8914728682170543,244,129,90,22,1000000064,1000000064,0.3127962085308057,0.6350710900473934,0.351089588377724,low,27,0,넓은 유입 / 관측 약함 / 관측 약함,0.030713731701077825,15
2026-04-18,1d,1,하루 기준,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,limited,limited,0.09452104307362133,Medium,hide,reconstructed_with_limitations,high,0.8375550660792952,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.08371760449847966,0.3107777374308895,0.4854866406150312,0.14843921457836667,0.7721518987341772,None,None,None,0.7721518987341772,190,79,51,23,1000000064,1000000064,0.21875,0.5390625,0.3502202643171806,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.030186350001948723,16
2026-04-18,1d,1,하루 기준,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,limited,limited,0.08265222252503973,Medium,hide,reconstructed_with_limitations,high,0.8366910866910866,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07734203607961962,0.20653067239955608,0.1403555364370946,0.08105599387737682,0.379746835443038,None,None,None,0.379746835443038,148,79,47,11,1000000064,1000000064,0.3055555555555556,0.6111111111111112,0.3467643467643467,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.026395909698504885,17
2026-04-18,1d,1,하루 기준,1000000112,매화 5송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000112/image/list/1000000112_list_032.jpg,limited,limited,0.08107805201914682,Medium,hide,reconstructed_with_limitations,high,0.8350798403193613,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07684220613299411,0.1618979074094938,0.08252005935812662,0.1652019463362182,0.21951219512195122,None,None,None,0.21951219512195122,96,41,26,7,1000000113,1000000113,0.45454545454545453,0.6363636363636364,0.34031936127744505,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.025893180779013206,18
2026-04-18,1d,1,하루 기준,1000000113,매화 5송이 3호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000113/image/list/1000000113_list_070.jpg,limited,limited,0.07759401903145861,Medium,hide,reconstructed_with_limitations,medium,0.7519509476031215,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.08447262441079666,0.20699035081544917,0.07354360682188857,0.1267287862135403,0.18333333333333332,None,None,None,0.18333333333333332,102,60,31,7,1000000112,1000000112,0.38461538461538464,0.6923076923076923,0.00780379041248606,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.02478051596105542,19
2026-04-18,1d,1,하루 기준,1000000121,깨송편 1kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000121/image/list/1000000121_list_089.jpg,limited,limited,0.07498527640339078,Medium,hide,reconstructed_with_limitations,medium,0.7543402777777778,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.06621769073235362,0.2031461742707357,0.18291014342487721,0.2211114821994402,0.7878787878787878,None,None,None,0.7878787878787878,184,33,24,20,1000000045,1000000045,0.17105263157894737,0.4473684210526316,0.017361111111111088,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.023947384888067545,20
2026-04-18,1d,1,하루 기준,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,limited,limited,0.07098610023195641,Medium,hide,reconstructed_with_limitations,high,0.8373931623931623,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.06034633864753185,0.22574301047663212,0.27811114654548336,0.33729822993957426,0.8717948717948718,None,None,None,0.8717948717948718,145,78,48,19,1000000064,1000000064,0.24855491329479767,0.5202312138728323,0.3495726495726495,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.022670203345156053,21
2026-04-18,1d,1,하루 기준,1000000110,매화 3송이 2호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000110/image/list/1000000110_list_026.jpg,limited,limited,0.05671741625037858,Medium,hide,reconstructed_with_limitations,medium,0.7526223776223776,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.0513052170772004,0.155867544958705,0.05711309711631774,0.0821917808219178,0.5555555555555556,None,None,None,0.5555555555555556,73,27,15,9,1000000084,1000000084,0.4666666666666667,0.6,0.010489510489510486,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.01811333987085409,22
2026-04-18,1d,1,하루 기준,1000000084,십리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000084/image/list/1000000084_list_028.jpg,limited,limited,0.04699746184634644,Medium,hide,reconstructed_with_limitations,medium,0.7538940809968847,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07908415336069927,0.14228575611546665,0.2131080424893167,0.04033042973794406,0.6363636363636364,None,None,None,0.6363636363636364,149,55,35,15,1000000087,1000000087,0.16981132075471697,0.41509433962264153,0.015576323987538906,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.015009163952962838,23
2026-04-18,1d,1,하루 기준,1000000035,떡국떡 500g,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000035/image/list/1000000035_list_093.jpg,limited,limited,0.041755437992978275,Medium,hide,reconstructed_with_limitations,high,0.8371518418688231,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.034002723803650166,0.20058222943497608,0.1583334948440104,0.1918835103013164,0.7073170731707317,None,None,None,0.7073170731707317,77,41,30,17,1000000064,1000000064,0.17647058823529413,0.4117647058823529,0.34860736747529203,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.013335065132099361,24
2026-04-18,1d,1,하루 기준,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,limited,limited,0.04152619942001819,Medium,hide,reconstructed_with_limitations,high,0.8371829710144927,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.038165304343330805,0.13546776190076454,0.034140744763748794,0.15949893473402418,0.8636363636363636,None,None,None,0.8636363636363636,101,44,31,17,1000000064,1000000064,0.25675675675675674,0.527027027027027,0.348731884057971,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.013261855235421319,25
2026-04-18,1d,1,하루 기준,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,limited,limited,0.03804469647450834,Medium,hide,reconstructed_with_limitations,medium,0.7517942583732058,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.0315237574010326,0.22565500811434805,0.06539411845060358,0.319805850502194,0.4444444444444444,None,None,None,0.4444444444444444,77,9,7,9,1000000121,1000000121,0.2,0.4,0.0071770334928229484,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.01214999841466957,26
2026-04-18,1d,1,하루 기준,1000000090,일리향 1단 (1호 2호 3호),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000090/image/list/1000000090_list_073.jpg,limited,limited,0.02855584433220835,Medium,hide,reconstructed_with_limitations,high,0.8366161616161616,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.06018415133321831,0.10582468416780161,0.1278967674860864,0.0234375,0.5357142857142857,None,None,None,0.5357142857142857,128,56,36,13,1000000091,1000000091,0.23076923076923078,0.5384615384615384,0.34646464646464636,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.009119627583265304,27
2026-04-18,1d,1,하루 기준,1000000089,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000089/image/list/1000000089_list_027.jpg,limited,limited,0.0280453391984331,Medium,hide,reconstructed_with_limitations,medium,0.7509469696969697,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.023261506705951566,0.41877115875706206,0.06669868755273502,0.17092700357431104,0.11764705882352941,Qualified,Deep,None,0.11764705882352941,49,17,13,2,1000000064,1000000064,0.5,1,0.0037878787878788214,low,27,0,선별 유입 / 깊은 확장 / 관측 약함,0.00895659207133249,28
2026-04-18,1d,1,하루 기준,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,limited,limited,0.026493777172696947,Medium,hide,reconstructed_with_limitations,high,0.8366583541147132,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.019246950830977536,0.13004946933649245,0.023245319614371648,0.07372418896626555,0.9615384615384616,None,None,None,0.9615384615384616,62,26,20,16,1000000064,1000000064,0.24615384615384617,0.4461538461538462,0.3466334164588529,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.008461083422299448,29
2026-04-18,1d,1,하루 기준,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,limited,limited,0.02379496254460634,Medium,hide,reconstructed_with_limitations,high,0.8378514056224899,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.014041021479702027,0.15266740385711236,0.04352691171972061,0.41542150709418335,1,None,None,None,1,48,14,11,18,1000000064,1000000064,0.21951219512195122,0.4634146341463415,0.35140562248995977,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.00759918685086119,30
2026-04-18,1d,1,하루 기준,1000000066,쑥인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000066/image/list/1000000066_list_042.jpg,limited,limited,0.017949772516870834,Medium,hide,reconstructed_with_limitations,high,0.8379360465116279,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.029014059193868312,0.18051496128089686,0.009861877705884536,0.29932327763414024,0.8292682926829268,None,None,None,0.8292682926829268,90,41,30,19,1000000064,1000000064,0.20987654320987653,0.38271604938271603,0.3517441860465116,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.005732460180613873,31
2026-04-18,1d,1,하루 기준,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,limited,limited,0.016687257983469754,Medium,hide,reconstructed_with_limitations,high,0.837202380952381,제한 반영,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010611362666699951,0.13745114209087086,0.07348420019729274,0.06382978723404255,0.7272727272727273,None,None,None,0.7272727272727273,47,22,15,13,1000000035,1000000035,0.28125,0.46875,0.3488095238095239,low,27,0,관측 약함 / 관측 약함 / 관측 약함,0.0053292620741551035,32
